Condition,Session,Responses,Subject,Group
Extinction,30,20,Z22,Amp_Sal
Extinction,31,19,Z22,Amp_Sal
Reinstatement,32,53,Z22,Amp_Sal
Baseline,1,707,Z6,Sal_Amp
Baseline,2,719,Z6,Sal_Amp
Baseline,3,757,Z6,Sal_Amp
Baseline,4,891,Z6,Sal_Amp
Baseline,5,742,Z6,Sal_Amp
Baseline,6,1074,Z6,Sal_Amp
Baseline,7,891,Z6,Sal_Amp
Baseline,8,1029,Z6,Sal_Amp
Baseline,9,1094,Z6,Sal_Amp
Baseline,10,1652,Z6,Sal_Amp
Baseline,11,1471,Z6,Sal_Amp
Baseline,12,1440,Z6,Sal_Amp
Baseline,13,1241,Z6,Sal_Amp
Baseline,14,1832,Z6,Sal_Amp
Treatment,15,1525,Z6,Sal_Amp
Treatment,16,1319,Z6,Sal_Amp
Treatment,17,1286,Z6,Sal_Amp
Treatment,18,865,Z6,Sal_Amp
Treatment,19,546,Z6,Sal_Amp
Treatment,20,651,Z6,Sal_Amp
Treatment,21,1024,Z6,Sal_Amp
Extinction,22,483,Z6,Sal_Amp
Extinction,23,223,Z6,Sal_Amp
Extinction,24,88,Z6,Sal_Amp
Extinction,25,86,Z6,Sal_Amp
Extinction,26,49,Z6,Sal_Amp
Extinction,27,78,Z6,Sal_Amp
Extinction,28,38,Z6,Sal_Amp
Extinction,29,101,Z6,Sal_Amp
Extinction,30,27,Z6,Sal_Amp
Extinction,31,33,Z6,Sal_Amp
Reinstatement,32,384,Z6,Sal_Amp
Baseline,1,538,Z8,Sal_Amp
Baseline,2,813,Z8,Sal_Amp
Baseline,3,1065,Z8,Sal_Amp
Baseline,4,1187,Z8,Sal_Amp
Baseline,5,1219,Z8,Sal_Amp
Baseline,6,1857,Z8,Sal_Amp
Baseline,7,1981,Z8,Sal_Amp
Baseline,8,2027,Z8,Sal_Amp
Baseline,9,2210,Z8,Sal_Amp
Baseline,10,1833,Z8,Sal_Amp
Baseline,11,2174,Z8,Sal_Amp
Baseline,12,2250,Z8,Sal_Amp
Baseline,13,2353,Z8,Sal_Amp
Baseline,14,2444,Z8,Sal_Amp
Treatment,15,2297,Z8,Sal_Amp
Treatment,16,2986,Z8,Sal_Amp
Treatment,17,2215,Z8,Sal_Amp
Treatment,18,1702,Z8,Sal_Amp
Treatment,19,1250,Z8,Sal_Amp
Treatment,20,833,Z8,Sal_Amp
Treatment,21,669,Z8,Sal_Amp
Extinction,22,735,Z8,Sal_Amp
Extinction,23,583,Z8,Sal_Amp
Extinction,24,207,Z8,Sal_Amp
Extinction,25,43,Z8,Sal_Amp
Extinction,26,42,Z8,Sal_Amp
Extinction,27,56,Z8,Sal_Amp
Extinction,28,33,Z8,Sal_Amp
Extinction,29,28,Z8,Sal_Amp
Extinction,30,26,Z8,Sal_Amp
Extinction,31,21,Z8,Sal_Amp
Reinstatement,32,174,Z8,Sal_Amp
Baseline,1,768,Z10,Sal_Amp
Baseline,2,1000,Z10,Sal_Amp
Baseline,3,1464,Z10,Sal_Amp
Baseline,4,1649,Z10,Sal_Amp
Baseline,5,2031,Z10,Sal_Amp
Baseline,6,1992,Z10,Sal_Amp
Baseline,7,1941,Z10,Sal_Amp
Baseline,8,2644,Z10,Sal_Amp
Baseline,9,2156,Z10,Sal_Amp
Baseline,10,3090,Z10,Sal_Amp
Baseline,11,3284,Z10,Sal_Amp
Baseline,12,3708,Z10,Sal_Amp
Baseline,13,3747,Z10,Sal_Amp
Baseline,14,3982,Z10,Sal_Amp
Treatment,15,2915,Z10,Sal_Amp
Treatment,16,1843,Z10,Sal_Amp
Treatment,17,144,Z10,Sal_Amp
Treatment,18,3763,Z10,Sal_Amp
Treatment,19,2704,Z10,Sal_Amp
Treatment,20,2549,Z10,Sal_Amp
Treatment,21,3227,Z10,Sal_Amp
Extinction,22,404,Z10,Sal_Amp
Extinction,23,258,Z10,Sal_Amp
Extinction,24,19,Z10,Sal_Amp
Extinction,25,1,Z10,Sal_Amp
Extinction,26,1,Z10,Sal_Amp
Extinction,27,3,Z10,Sal_Amp
Extinction,28,0,Z10,Sal_Amp
Extinction,29,3,Z10,Sal_Amp
Extinction,30,7,Z10,Sal_Amp
Extinction,31,7,Z10,Sal_Amp
Reinstatement,32,266,Z10,Sal_Amp
Baseline,1,691,Z15,Sal_Amp
Baseline,2,912,Z15,Sal_Amp
Baseline,3,1259,Z15,Sal_Amp
Baseline,4,1308,Z15,Sal_Amp
Baseline,5,1846,Z15,Sal_Amp
Baseline,6,2181,Z15,Sal_Amp
Baseline,7,2307,Z15,Sal_Amp
Baseline,8,1983,Z15,Sal_Amp
Baseline,9,1851,Z15,Sal_Amp
Baseline,10,1765,Z15,Sal_Amp
Baseline,11,1893,Z15,Sal_Amp
Baseline,12,1809,Z15,Sal_Amp
Baseline,13,1820,Z15,Sal_Amp
Baseline,14,2592,Z15,Sal_Amp
Treatment,15,2504,Z15,Sal_Amp
Treatment,16,2541,Z15,Sal_Amp
Treatment,17,1856,Z15,Sal_Amp
Treatment,18,1505,Z15,Sal_Amp
Treatment,19,1705,Z15,Sal_Amp
Treatment,20,1772,Z15,Sal_Amp
Treatment,21,2011,Z15,Sal_Amp
Extinction,22,1168,Z15,Sal_Amp
Extinction,23,453,Z15,Sal_Amp
Extinction,24,183,Z15,Sal_Amp
Extinction,25,72,Z15,Sal_Amp
Extinction,26,128,Z15,Sal_Amp
Extinction,27,66,Z15,Sal_Amp
Extinction,28,112,Z15,Sal_Amp
Extinction,29,23,Z15,Sal_Amp
Extinction,30,42,Z15,Sal_Amp
Extinction,31,53,Z15,Sal_Amp
Reinstatement,32,39,Z15,Sal_Amp
Baseline,1,885,Z16,Sal_Amp
Baseline,2,965,Z16,Sal_Amp
Baseline,3,972,Z16,Sal_Amp
Baseline,4,1000,Z16,Sal_Amp
Baseline,5,1048,Z16,Sal_Amp
Baseline,6,966,Z16,Sal_Amp
Baseline,7,840,Z16,Sal_Amp
Baseline,8,925,Z16,Sal_Amp
Baseline,9,1118,Z16,Sal_Amp
Baseline,10,973,Z16,Sal_Amp
Baseline,11,1099,Z16,Sal_Amp
Baseline,12,1094,Z16,Sal_Amp
Baseline,13,983,Z16,Sal_Amp
Baseline,14,1210,Z16,Sal_Amp
Treatment,15,1090,Z16,Sal_Amp
Treatment,16,1335,Z16,Sal_Amp
Treatment,17,973,Z16,Sal_Amp
Treatment,18,975,Z16,Sal_Amp
Treatment,19,1048,Z16,Sal_Amp
Treatment,20,883,Z16,Sal_Amp
Treatment,21,1224,Z16,Sal_Amp
Extinction,22,419,Z16,Sal_Amp
Extinction,23,359,Z16,Sal_Amp
Extinction,24,216,Z16,Sal_Amp
Extinction,25,85,Z16,Sal_Amp
Extinction,26,41,Z16,Sal_Amp
Extinction,27,43,Z16,Sal_Amp
Extinction,28,40,Z16,Sal_Amp
Extinction,29,36,Z16,Sal_Amp
Extinction,30,20,Z16,Sal_Amp
Extinction,31,37,Z16,Sal_Amp
Reinstatement,32,56,Z16,Sal_Amp
Baseline,1,1240,Z17,Sal_Amp
Baseline,2,1689,Z17,Sal_Amp
Baseline,3,1902,Z17,Sal_Amp
Baseline,4,1907,Z17,Sal_Amp
Baseline,5,1617,Z17,Sal_Amp
Baseline,6,2463,Z17,Sal_Amp
Baseline,7,1932,Z17,Sal_Amp
Baseline,8,2506,Z17,Sal_Amp
Baseline,9,1892,Z17,Sal_Amp
Baseline,10,2741,Z17,Sal_Amp
Baseline,11,2437,Z17,Sal_Amp
Baseline,12,3080,Z17,Sal_Amp
Baseline,13,3081,Z17,Sal_Amp
Baseline,14,3343,Z17,Sal_Amp
Treatment,15,41,Z17,Sal_Amp
Treatment,16,2964,Z17,Sal_Amp
Treatment,17,3437,Z17,Sal_Amp
Treatment,18,4018,Z17,Sal_Amp
Treatment,19,3724,Z17,Sal_Amp
Treatment,20,3708,Z17,Sal_Amp
Treatment,21,3725,Z17,Sal_Amp
Extinction,22,2192,Z17,Sal_Amp
Extinction,23,723,Z17,Sal_Amp
Extinction,24,412,Z17,Sal_Amp
Extinction,25,192,Z17,Sal_Amp
Extinction,26,303,Z17,Sal_Amp
Extinction,27,348,Z17,Sal_Amp
Extinction,28,308,Z17,Sal_Amp
Extinction,29,124,Z17,Sal_Amp
Extinction,30,116,Z17,Sal_Amp
Extinction,31,236,Z17,Sal_Amp
Reinstatement,32,34,Z17,Sal_Amp
Baseline,1,803,Z21,Sal_Amp
Baseline,2,728,Z21,Sal_Amp
Baseline,3,915,Z21,Sal_Amp
