Subject,Session,Group,Reinf,Condition,Rate
10,25,ABC,Lean,Extinction,3.6
10,26,ABC,Lean,Extinction,6.333333
10,27,ABC,Lean,Extinction,11.26667
10,28,ABC,Lean,Renewal,25.2
11,1,ABC,Rich,Baseline,60.86666
11,2,ABC,Rich,Baseline,77.93333
11,3,ABC,Rich,Baseline,79.86667
11,4,ABC,Rich,Baseline,75.06667
11,5,ABC,Rich,Baseline,75.26667
11,6,ABC,Rich,Baseline,77.4
11,7,ABC,Rich,Baseline,85.26667
11,8,ABC,Rich,Baseline,80.06667
11,9,ABC,Rich,Baseline,83.4
11,10,ABC,Rich,Baseline,73.6
11,11,ABC,Rich,Baseline,77.8
11,12,ABC,Rich,Baseline,72.93333
11,13,ABC,Rich,Baseline,76.13333
11,14,ABC,Rich,Baseline,71
11,15,ABC,Rich,Baseline,73.13333
11,16,ABC,Rich,Baseline,78.4
11,17,ABC,Rich,Baseline,77.13333
11,18,ABC,Rich,Baseline,72.53333
11,19,ABC,Rich,Baseline,75.2
11,20,ABC,Rich,Baseline,76.73333
11,21,ABC,Rich,Extinction,75.1
11,22,ABC,Rich,Extinction,68.6
11,23,ABC,Rich,Extinction,66.46667
11,24,ABC,Rich,Extinction,52.13334
11,25,ABC,Rich,Extinction,31.33333
11,26,ABC,Rich,Extinction,23.33333
11,27,ABC,Rich,Extinction,6
11,28,ABC,Rich,Renewal,29.26667
11,1,ABC,Lean,Baseline,43
11,2,ABC,Lean,Baseline,52.33333
11,3,ABC,Lean,Baseline,70.8
11,4,ABC,Lean,Baseline,63.8
11,5,ABC,Lean,Baseline,64.93333
11,6,ABC,Lean,Baseline,50.66667
11,7,ABC,Lean,Baseline,60.33333
11,8,ABC,Lean,Baseline,54.66667
11,9,ABC,Lean,Baseline,71.26667
11,10,ABC,Lean,Baseline,65.86667
11,11,ABC,Lean,Baseline,64.06667
11,12,ABC,Lean,Baseline,71.06667
11,13,ABC,Lean,Baseline,55.13334
11,14,ABC,Lean,Baseline,59.8
11,15,ABC,Lean,Baseline,52.33333
11,16,ABC,Lean,Baseline,62.53333
11,17,ABC,Lean,Baseline,69.2
11,18,ABC,Lean,Baseline,64.2
11,19,ABC,Lean,Baseline,76.26667
11,20,ABC,Lean,Baseline,77.4
11,21,ABC,Lean,Extinction,65.2
11,22,ABC,Lean,Extinction,46.66667
11,23,ABC,Lean,Extinction,26.33333
11,24,ABC,Lean,Extinction,10.13333
11,25,ABC,Lean,Extinction,2.6
11,26,ABC,Lean,Extinction,2.4
11,27,ABC,Lean,Extinction,0.6666667
11,28,ABC,Lean,Renewal,22.2
12,1,ABC,Rich,Baseline,56.4
12,2,ABC,Rich,Baseline,58.13334
12,3,ABC,Rich,Baseline,59.53333
12,4,ABC,Rich,Baseline,56.13334
12,5,ABC,Rich,Baseline,53
12,6,ABC,Rich,Baseline,52.33333
12,7,ABC,Rich,Baseline,52.6
12,8,ABC,Rich,Baseline,53.8
12,9,ABC,Rich,Baseline,53.93333
12,10,ABC,Rich,Baseline,46.73333
12,11,ABC,Rich,Baseline,50.33333
12,12,ABC,Rich,Baseline,48.2
