Condition,Session,Responses,Subject,Group,Junk Col
Reinstatement,32,174,Z8,Sal_Amp,junk513
Baseline,1,768,Z10,Sal_Amp,junk514
Baseline,2,1000,Z10,Sal_Amp,junk515
Baseline,3,1464,Z10,Sal_Amp,junk516
Baseline,4,1649,Z10,Sal_Amp,junk517
Baseline,5,2031,Z10,Sal_Amp,junk518
Baseline,6,1992,Z10,Sal_Amp,junk519
Baseline,7,1941,Z10,Sal_Amp,junk520
Baseline,8,2644,Z10,Sal_Amp,junk521
Baseline,9,2156,Z10,Sal_Amp,junk522
Baseline,10,3090,Z10,Sal_Amp,junk523
Baseline,11,3284,Z10,Sal_Amp,junk524
Baseline,12,3708,Z10,Sal_Amp,junk525
Baseline,13,3747,Z10,Sal_Amp,junk526
Baseline,14,3982,Z10,Sal_Amp,junk527
Treatment,15,2915,Z10,Sal_Amp,junk528
Treatment,16,1843,Z10,Sal_Amp,junk529
Treatment,17,144,Z10,Sal_Amp,junk530
Treatment,18,3763,Z10,Sal_Amp,junk531
Treatment,19,2704,Z10,Sal_Amp,junk532
Treatment,20,2549,Z10,Sal_Amp,junk533
Treatment,21,3227,Z10,Sal_Amp,junk534
Extinction,22,404,Z10,Sal_Amp,junk535
Extinction,23,258,Z10,Sal_Amp,junk536
Extinction,24,19,Z10,Sal_Amp,junk537
Extinction,25,1,Z10,Sal_Amp,junk538
Extinction,26,1,Z10,Sal_Amp,junk539
Extinction,27,3,Z10,Sal_Amp,junk540
Extinction,28,0,Z10,Sal_Amp,junk541
Extinction,29,3,Z10,Sal_Amp,junk542
